Program Version:,EnergyPlus, Version 9.4.0-217a24fc09, YMD=2023.03.13 17:07
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,20YO_WICK (01-01:31-12) ** ABERDEEN/DYCE - GBR IWEC Data WMO#=030910

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,35449.15,145.13,145.13
,Net Site Energy,35449.15,145.13,145.13
,Total Source Energy,102653.34,420.27,420.27
,Net Source Energy,102653.34,420.27,420.27


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.250
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,244.26
,Net Conditioned Building Area,244.26
,Unconditioned Building Area,0.00


End Uses

,,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8136.89,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,941.11,0.00,0.00
,Interior Lighting,11579.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,7621.05,5716.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1453.65,22.76
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,19200.89,5716.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,941.11,9590.54,22.76
Note: District heat appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,14164_PARTITION_5_0_0,13,0.50,1.696,2.857,4.04,4.04,45.00,90.00,E
,14164_PARTITION_6_0_0,13,0.50,1.696,2.857,3.31,3.31,90.00,90.00,E
,14164_PARTITION_7_0_0,13,0.50,1.696,2.857,0.60,0.60,135.00,90.00,S
,14164_PARTITION_8_0_0,13,0.50,1.696,2.857,5.59,5.59,45.00,90.00,E
,14164_PARTITION_9_0_0,13,0.50,1.696,2.857,6.62,6.62,45.00,90.00,E
,14164_CEILING_1_0_0,3,0.40,2.934,14.000,4.60,4.60,45.00,0.00,
,14164_CEILING_1_0_1,3,0.40,2.934,14.000,3.65,3.65,45.00,0.00,
,14164_CEILING_1_1_0,11,0.22,0.242,0.259,0.35,0.35,45.00,0.00,
,14164_CEILING_1_1_1,11,0.22,0.242,0.259,5.87,5.87,45.00,0.00,
,14164_CEILING_1_2_0,3,0.40,2.934,14.000,2.67,2.67,45.00,0.00,
,14164_CEILING_1_2_1,3,0.40,2.934,14.000,16.37,16.37,45.00,0.00,
,14164_CEILING_1_2_2,3,0.40,2.934,14.000,1.15,1.15,45.00,0.00,
,14164_CEILING_1_3_1,3,0.40,2.934,14.000,0.15,0.15,45.00,0.00,
,14164_CEILING_1_3_2,3,0.40,2.934,14.000,0.09,0.09,45.00,0.00,
,14164_CEILING_1_3_3,3,0.40,2.934,14.000,1.39,1.39,45.00,0.00,
,14175_PARTITION_10_0_10003,5,0.30,0.342,0.372,2.92,2.92,135.00,90.00,S
,14175_PARTITION_9_0_10009,14,0.50,1.696,2.857,8.57,8.57,225.00,90.00,W
,14175_PARTITION_8_0_10010,14,0.50,1.696,2.857,1.94,1.94,135.00,90.00,S
,14175_PARTITION_7_0_10019,14,0.50,1.696,2.857,2.43,2.43,225.00,90.00,W
,14175_PARTITION_6_0_10028,14,0.50,1.696,2.857,1.23,1.23,225.00,90.00,W
,14175_PARTITION_5_0_10029,14,0.50,1.696,2.857,1.94,1.94,315.00,90.00,N
,14175_PARTITION_4_0_10030,14,0.50,1.696,2.857,2.90,2.90,225.00,90.00,W
,14175_PARTITION_3_0_10041,14,0.50,1.696,2.857,4.04,4.04,225.00,90.00,W
,14175_PARTITION_2_0_10042,14,0.50,1.696,2.857,3.31,3.31,270.00,90.00,W
,14175_PARTITION_22_0_10043,14,0.50,1.696,2.857,0.60,0.60,315.00,90.00,N
,14175_PARTITION_11_0_0,14,0.50,1.696,2.857,8.57,8.57,45.00,90.00,E
,14175_PARTITION_12_0_0,13,0.50,1.696,2.857,3.76,3.76,45.00,90.00,E
,14175_PARTITION_13_0_0,13,0.50,1.696,2.857,5.10,5.10,135.00,90.00,S
,14175_PARTITION_14_0_0,13,0.50,1.696,2.857,2.31,2.31,45.02,90.00,E
,14175_PARTITION_15_0_0,13,0.50,1.696,2.857,2.21,2.21,135.00,90.00,S
,14175_PARTITION_16_0_0,14,0.50,1.696,2.857,10.28,10.28,45.00,90.00,E
,14175_PARTITION_17_0_0,14,0.50,1.696,2.857,1.95,1.95,315.00,90.00,N
,14175_PARTITION_18_0_0,14,0.50,1.696,2.857,3.17,3.17,225.00,90.00,W
,14175_PARTITION_19_0_0,14,0.50,1.696,2.857,0.12,0.12,135.00,90.00,S
,14175_PARTITION_20_0_0,14,0.50,1.696,2.857,0.23,0.23,225.00,90.00,W
,14175_PARTITION_21_0_0,14,0.50,1.696,2.857,5.45,5.45,315.00,90.00,N
,12358_PARTITION_1_0_0,13,0.50,1.696,2.857,4.24,4.24,315.00,90.00,N
,12358_PARTITION_2_0_0,13,0.50,1.696,2.857,3.74,3.74,225.00,90.00,W
,12358_PARTITION_3_0_0,13,0.50,1.696,2.857,15.56,15.56,225.00,90.00,W
,12358_PARTITION_4_0_0,13,0.50,1.696,2.857,10.46,10.46,135.00,90.00,S
,12358_PARTITION_5_0_0,5,0.30,0.342,0.372,0.02,0.02,45.00,90.00,E
,12358_PARTITION_5_0_1,5,0.30,0.342,0.372,1.96,1.96,45.00,90.00,E
,12358_PARTITION_6_0_0,13,0.50,1.696,2.857,0.26,0.26,45.00,90.00,E
,12358_PARTITION_7_0_0,13,0.50,1.696,2.857,0.09,0.09,315.00,90.00,N
,12358_PARTITION_8_0_0,13,0.50,1.696,2.857,8.44,8.44,45.00,90.00,E
,12358_PARTITION_9_0_0,13,0.50,1.696,2.857,1.17,1.17,315.00,90.00,N
,12358_PARTITION_9_0_1,13,0.50,1.696,2.857,5.24,5.24,315.00,90.00,N
,12358_PARTITION_10_0_0,13,0.50,1.696,2.857,1.18,1.18,45.00,90.00,E
,14175_FLOOR_0_0_10026,4,0.40,2.934,14.000,0.06,0.06,45.00,180.00,
,14175_FLOOR_0_0_10038,4,0.40,2.934,14.000,0.15,0.15,45.00,180.00,
,14175_FLOOR_0_0_10039,4,0.40,2.934,14.000,0.09,0.09,45.00,180.00,
,14175_FLOOR_0_0_10040,4,0.40,2.934,14.000,1.39,1.39,45.00,180.00,
,14175_FLOOR_0_0_10058,4,0.40,2.934,14.000,1.81,1.81,45.00,180.00,
,14175_FLOOR_0_0_10059,4,0.40,2.934,14.000,0.18,0.18,45.00,180.00,
,14175_FLOOR_0_0_10060,4,0.40,2.934,14.000,0.17,0.17,45.00,180.00,
,14175_FLOOR_0_0_10061,4,0.40,2.934,14.000,0.08,0.08,45.00,180.00,
,14175_FLOOR_0_0_10062,4,0.40,2.934,14.000,0.07,0.07,45.00,180.00,
,14175_FLOOR_0_0_10063,4,0.40,2.934,14.000,2.25,2.25,45.00,180.00,
,14175_FLOOR_0_0_10064,4,0.40,2.934,14.000,3.61,3.61,45.00,180.00,
,12358_FLOOR_0_4_0,15,0.40,2.934,14.000,1.13,1.13,225.00,180.00,
,14175_CEILING_1_0_0,3,0.40,2.934,14.000,0.23,0.23,45.00,0.00,
,14175_CEILING_1_1_0,11,0.22,0.242,0.259,0.05,0.05,45.00,0.00,
,14175_CEILING_1_2_0,3,0.40,2.934,14.000,0.11,0.11,45.00,0.00,
,14175_CEILING_1_2_1,3,0.40,2.934,14.000,0.52,0.52,45.00,0.00,
,14175_CEILING_1_2_2,3,0.40,2.934,14.000,0.06,0.06,45.00,0.00,
,14175_CEILING_1_2_3,3,0.40,2.934,14.000,0.22,0.22,45.00,0.00,
,14175_CEILING_1_2_4,3,0.40,2.934,14.000,2.45,2.45,45.00,0.00,
,14175_CEILING_1_3_0,11,0.22,0.242,0.259,0.05,0.05,45.02,0.00,
,14175_CEILING_1_3_1,11,0.22,0.242,0.259,0.28,0.28,45.00,0.00,
,14175_CEILING_1_4_0,3,0.40,2.934,14.000,0.61,0.61,45.00,0.00,
,14175_CEILING_1_4_1,3,0.40,2.934,14.000,6.03,6.03,45.00,0.00,
,14175_CEILING_1_5_0,3,0.40,2.934,14.000,0.59,0.59,45.00,0.00,
,14175_CEILING_1_6_0,3,0.40,2.934,14.000,1.81,1.81,45.00,0.00,
,14175_CEILING_1_6_2,3,0.40,2.934,14.000,0.18,0.18,45.00,0.00,
,14175_CEILING_1_6_3,3,0.40,2.934,14.000,0.17,0.17,45.00,0.00,
,14175_CEILING_1_6_4,3,0.40,2.934,14.000,0.08,0.08,45.00,0.00,
,14175_CEILING_1_6_5,3,0.40,2.934,14.000,0.07,0.07,45.00,0.00,
,14175_CEILING_1_6_6,3,0.40,2.934,14.000,2.25,2.25,45.00,0.00,
,14175_CEILING_1_6_7,3,0.40,2.934,14.000,3.61,3.61,45.00,0.00,
,14199_PARTITION_4_0_10002,5,0.30,0.342,0.372,4.15,4.15,135.00,90.00,S
,14199_PARTITION_3_0_10065,13,0.50,1.696,2.857,8.57,8.57,225.00,90.00,W
,14199_PARTITION_2_0_0,13,0.50,1.696,2.857,8.08,8.08,315.00,90.00,N
,14199_CEILING_1_0_0,11,0.22,0.242,0.259,1.51,1.51,45.00,0.00,
,14199_CEILING_1_0_1,11,0.22,0.242,0.259,1.73,1.73,45.00,0.00,
,14199_CEILING_1_1_0,3,0.40,2.934,14.000,2.77,2.77,45.00,0.00,
,14199_CEILING_1_1_1,3,0.40,2.934,14.000,5.62,5.62,45.00,0.00,
,14207_PARTITION_3_0_10066,14,0.50,1.696,2.857,3.76,3.76,225.00,90.00,W
,14207_PARTITION_2_0_10067,14,0.50,1.696,2.857,5.10,5.10,315.00,90.00,N
,14207_PARTITION_9_0_10068,14,0.50,1.696,2.857,2.31,2.31,225.02,90.00,W
,14207_PARTITION_8_0_10069,14,0.50,1.696,2.857,2.21,2.21,315.00,90.00,N
,14207_PARTITION_4_0_10093,14,0.50,1.696,2.857,8.08,8.08,135.00,90.00,S
,14207_PARTITION_6_0_0,14,0.50,1.696,2.857,0.77,0.77,315.00,90.00,N
,14207_PARTITION_7_0_0,14,0.50,1.696,2.857,2.92,2.92,45.00,90.00,E
,14207_CEILING_1_0_0,11,0.22,0.242,0.259,0.41,0.41,45.00,0.00,
,14207_CEILING_1_0_1,11,0.22,0.242,0.259,0.86,0.86,45.00,0.00,
,14207_CEILING_1_0_2,11,0.22,0.242,0.259,0.50,0.50,45.00,0.00,
,14207_CEILING_1_0_3,11,0.22,0.242,0.259,0.59,0.59,45.00,0.00,
,14207_CEILING_1_1_0,3,0.40,2.934,14.000,0.38,0.38,45.00,0.00,
,14207_CEILING_1_1_1,3,0.40,2.934,14.000,3.13,3.13,45.00,0.00,
,14218_PARTITION_3_0_10044,14,0.50,1.696,2.857,5.59,5.59,225.00,90.00,W
,14218_PARTITION_7_0_10072,13,0.50,1.696,2.857,3.17,3.17,45.00,90.00,E
,14218_PARTITION_6_0_10073,13,0.50,1.696,2.857,0.12,0.12,315.00,90.00,N
,14218_PARTITION_5_0_10074,13,0.50,1.696,2.857,0.23,0.23,45.00,90.00,E
,14218_PARTITION_4_0_10075,13,0.50,1.696,2.857,5.45,5.45,135.00,90.00,S
,14218_PARTITION_2_0_0,13,0.50,1.696,2.857,3.14,3.14,315.00,90.00,N
,14218_PARTITION_8_0_0,13,0.50,1.696,2.857,2.18,2.18,45.00,90.00,E
,14218_PARTITION_9_0_0,13,0.50,1.696,2.857,2.20,2.20,315.00,90.00,N
,14218_CEILING_1_0_10076,16,0.40,2.934,14.000,1.13,1.13,135.00,0.00,
,14218_CEILING_1_0_0,11,0.22,0.242,0.259,0.19,0.19,45.00,0.00,
,14218_CEILING_1_1_1,3,0.40,2.934,14.000,0.27,0.27,45.00,0.00,
,14218_CEILING_1_2_0,3,0.40,2.934,14.000,3.42,3.42,45.00,0.00,
,14229_PARTITION_3_0_10045,14,0.50,1.696,2.857,6.62,6.62,225.00,90.00,W
,14229_PARTITION_4_0_10105,14,0.50,1.696,2.857,3.14,3.14,135.00,90.00,S
,14229_PARTITION_5_0_0,14,0.50,1.696,2.857,6.62,6.62,45.00,90.00,E
,14229_CEILING_1_0_0,3,0.40,2.934,14.000,3.49,3.49,45.00,0.00,
,14236_PARTITION_6_0_10071,13,0.50,1.696,2.857,1.95,1.95,135.00,90.00,S
,14236_PARTITION_5_0_10106,14,0.50,1.696,2.857,2.18,2.18,225.00,90.00,W
,14236_PARTITION_4_0_10107,14,0.50,1.696,2.857,2.20,2.20,135.00,90.00,S
,14236_PARTITION_3_0_10109,13,0.50,1.696,2.857,6.62,6.62,225.00,90.00,W
,14236_PARTITION_7_0_0,14,0.50,1.696,2.857,2.95,2.95,45.00,90.00,E
,14236_PARTITION_8_0_0,14,0.50,1.696,2.857,0.77,0.77,135.00,90.00,S
,14236_CEILING_1_0_0,11,0.22,0.242,0.259,0.06,0.06,45.00,0.00,
,14236_CEILING_1_0_1,11,0.22,0.242,0.259,0.97,0.97,45.00,0.00,
,14236_CEILING_1_0_2,11,0.22,0.242,0.259,3.16,3.16,45.00,0.00,
,14236_CEILING_1_1_0,3,0.40,2.934,14.000,1.90,1.90,45.00,0.00,
,14247_PARTITION_4_0_10070,13,0.50,1.696,2.857,10.28,10.28,225.00,90.00,W
,14247_PARTITION_6_0_10100,13,0.50,1.696,2.857,0.77,0.77,135.00,90.00,S
,14247_PARTITION_5_0_10101,13,0.50,1.696,2.857,2.92,2.92,225.00,90.00,W
,14247_PARTITION_3_0_10114,13,0.50,1.696,2.857,2.95,2.95,225.00,90.00,W
,14247_PARTITION_2_0_10115,13,0.50,1.696,2.857,0.77,0.77,315.00,90.00,N
,14247_CEILING_1_0_0,3,0.40,2.934,14.000,5.59,5.59,45.00,0.00,
,14247_CEILING_1_1_0,11,0.22,0.242,0.259,9.57,9.57,45.00,0.00,
,14247_CEILING_1_2_0,3,0.40,2.934,14.000,1.76,1.76,45.00,0.00,
,14247_CEILING_1_2_1,3,0.40,2.934,14.000,9.21,9.21,45.00,0.00,
,14247_CEILING_1_2_2,3,0.40,2.934,14.000,14.19,14.19,45.00,0.00,
,14247_CEILING_1_3_0,11,0.22,0.242,0.259,1.66,1.66,45.00,0.00,
,14247_CEILING_1_3_1,11,0.22,0.242,0.259,3.02,3.02,45.00,0.00,
,14247_CEILING_1_3_2,11,0.22,0.242,0.259,4.79,4.79,45.00,0.00,
,433_PARTITION_2_0_0,6,0.50,0.342,0.372,2.41,2.41,315.00,90.00,N
,433_PARTITION_2_1_0,6,0.50,0.342,0.372,6.00,6.00,315.00,90.00,N
,433_FLOOR_1_0_10000,4,0.40,2.934,14.000,37.44,37.44,45.00,180.00,
,12212_PARTITION_1_0_0,5,0.30,0.342,0.372,4.65,4.65,315.00,90.00,N
,12212_PARTITION_2_0_0,14,0.50,1.696,2.857,5.03,5.03,225.00,90.00,W
,12212_PARTITION_3_0_0,14,0.50,1.696,2.857,10.46,10.46,135.00,90.00,S
,12212_PARTITION_4_0_0,14,0.50,1.696,2.857,5.03,5.03,45.00,90.00,E
,12212_FLOOR_0_0_10046,4,0.40,2.934,14.000,0.23,0.23,45.00,180.00,
,12212_FLOOR_0_0_10116,4,0.40,2.934,14.000,5.59,5.59,45.00,180.00,
,12219_PARTITION_3_0_10124,5,0.30,0.342,0.372,2.41,2.41,135.00,90.00,S
,12219_PARTITION_1_0_0,13,0.50,1.696,2.857,6.54,6.54,315.00,90.00,N
,12219_PARTITION_2_0_0,5,0.30,0.342,0.372,3.43,3.43,225.00,90.00,W
,12219_PARTITION_4_0_0,13,0.50,1.696,2.857,10.95,10.95,45.00,90.00,E
,12219_FLOOR_0_0_10004,4,0.40,2.934,14.000,7.52,7.52,45.00,180.00,
,12226_PARTITION_4_0_10126,6,0.50,0.342,0.372,4.65,4.65,135.00,90.00,S
,12226_PARTITION_2_0_0,6,0.50,0.342,0.372,5.94,5.94,225.00,90.00,W
,12226_PARTITION_3_0_0,6,0.50,0.342,0.372,0.35,0.35,135.00,90.00,S
,12226_PARTITION_3_0_1,6,0.50,0.342,0.372,1.04,1.04,135.00,90.00,S
,12226_PARTITION_5_0_0,6,0.50,0.342,0.372,7.36,7.36,135.00,90.00,S
,12226_FLOOR_0_0_10047,12,0.50,0.242,0.259,0.05,0.05,45.00,180.00,
,12226_FLOOR_0_0_10102,12,0.50,0.242,0.259,0.19,0.19,45.00,180.00,
,12226_FLOOR_0_0_10110,12,0.50,0.242,0.259,0.06,0.06,45.00,180.00,
,12226_FLOOR_0_0_10111,12,0.50,0.242,0.259,0.97,0.97,45.00,180.00,
,12226_FLOOR_0_0_10112,12,0.50,0.242,0.259,3.16,3.16,45.00,180.00,
,12226_FLOOR_0_0_10117,12,0.50,0.242,0.259,9.57,9.57,45.00,180.00,
,12236_PARTITION_5_0_10083,14,0.50,1.696,2.857,0.26,0.26,225.00,90.00,W
,12236_PARTITION_4_0_10084,14,0.50,1.696,2.857,0.09,0.09,135.00,90.00,S
,12236_PARTITION_3_0_10085,14,0.50,1.696,2.857,8.44,8.44,225.00,90.00,W
,12236_PARTITION_15_0_10127,13,0.50,1.696,2.857,5.03,5.03,45.00,90.00,E
,12236_PARTITION_14_0_10128,13,0.50,1.696,2.857,10.46,10.46,315.00,90.00,N
,12236_PARTITION_13_0_10129,13,0.50,1.696,2.857,5.03,5.03,225.00,90.00,W
,12236_PARTITION_1_0_10134,5,0.30,0.342,0.372,0.35,0.35,315.00,90.00,N
,12236_PARTITION_1_0_10135,5,0.30,0.342,0.372,1.04,1.04,315.00,90.00,N
,12236_PARTITION_12_0_10136,5,0.30,0.342,0.372,7.36,7.36,315.00,90.00,N
,12236_PARTITION_2_0_0,13,0.50,1.696,2.857,0.26,0.26,225.00,90.00,W
,12236_PARTITION_2_0_1,13,0.50,1.696,2.857,1.23,1.23,225.00,90.00,W
,12236_PARTITION_6_0_0,5,0.30,0.342,0.372,7.46,7.46,135.00,90.00,S
,12236_PARTITION_7_0_0,5,0.30,0.342,0.372,1.11,1.11,225.00,90.00,W
,12236_PARTITION_8_0_0,5,0.30,0.342,0.372,2.22,2.22,135.00,90.00,S
,12236_PARTITION_9_0_0,5,0.30,0.342,0.372,1.11,1.11,45.00,90.00,E
,12236_PARTITION_10_0_0,5,0.30,0.342,0.372,3.75,3.75,135.00,90.00,S
,12236_FLOOR_0_0_10048,4,0.40,2.934,14.000,0.11,0.11,45.00,180.00,
,12236_FLOOR_0_0_10049,4,0.40,2.934,14.000,0.52,0.52,45.00,180.00,
,12236_FLOOR_0_0_10050,4,0.40,2.934,14.000,0.06,0.06,45.00,180.00,
,12236_FLOOR_0_0_10051,4,0.40,2.934,14.000,0.22,0.22,45.00,180.00,
,12236_FLOOR_0_0_10052,4,0.40,2.934,14.000,2.45,2.45,45.00,180.00,
,12236_FLOOR_0_0_10103,4,0.40,2.934,14.000,0.27,0.27,45.00,180.00,
,12236_FLOOR_0_0_10118,4,0.40,2.934,14.000,1.76,1.76,45.00,180.00,
,12236_FLOOR_0_0_10119,4,0.40,2.934,14.000,9.21,9.21,45.00,180.00,
,12236_FLOOR_0_0_10120,4,0.40,2.934,14.000,14.19,14.19,45.00,180.00,
,12262_PARTITION_13_0_10081,6,0.50,0.342,0.372,0.02,0.02,225.00,90.00,W
,12262_PARTITION_13_0_10082,6,0.50,0.342,0.372,1.96,1.96,225.00,90.00,W
,12262_PARTITION_17_0_10139,6,0.50,0.342,0.372,7.46,7.46,315.00,90.00,N
,12262_PARTITION_22_0_10140,6,0.50,0.342,0.372,1.11,1.11,45.00,90.00,E
,12262_PARTITION_21_0_10141,6,0.50,0.342,0.372,2.22,2.22,315.00,90.00,N
,12262_PARTITION_20_0_10142,6,0.50,0.342,0.372,1.11,1.11,225.00,90.00,W
,12262_PARTITION_19_0_10143,6,0.50,0.342,0.372,3.75,3.75,315.00,90.00,N
,12262_PARTITION_2_0_0,6,0.50,0.342,0.372,0.17,0.17,225.00,90.00,W
,12262_PARTITION_2_0_1,6,0.50,0.342,0.372,0.52,0.52,225.00,90.00,W
,12262_PARTITION_2_0_2,6,0.50,0.342,0.372,1.64,1.64,225.00,90.00,W
,12262_PARTITION_2_0_3,6,0.50,0.342,0.372,0.21,0.21,225.00,90.00,W
,12262_PARTITION_2_0_4,6,0.50,0.342,0.372,0.88,0.88,225.00,90.00,W
,12262_PARTITION_2_0_5,6,0.50,0.342,0.372,0.17,0.17,225.00,90.00,W
,12262_PARTITION_2_0_6,6,0.50,0.342,0.372,0.17,0.17,225.00,90.00,W
,12262_PARTITION_2_0_7,6,0.50,0.342,0.372,1.34,1.34,225.00,90.00,W
,12262_PARTITION_2_0_8,6,0.50,0.342,0.372,0.19,0.19,225.00,90.00,W
,12262_PARTITION_2_0_9,6,0.50,0.342,0.372,1.14,0.00,225.00,90.00,W
,12262_PARTITION_9_0_0,6,0.50,0.342,0.372,0.73,0.73,315.00,90.00,N
,12262_PARTITION_11_0_0,6,0.50,0.342,0.372,0.73,0.73,135.00,90.00,S
,12262_PARTITION_12_0_0,6,0.50,0.342,0.372,1.36,1.36,225.00,90.00,W
,12262_PARTITION_16_0_0,6,0.50,0.342,0.372,2.14,2.14,225.00,90.00,W
,12262_FLOOR_10_0_10053,12,0.50,0.242,0.259,0.05,0.05,45.00,180.00,
,12262_FLOOR_10_0_10054,12,0.50,0.242,0.259,0.28,0.28,45.00,180.00,
,12262_FLOOR_10_0_10089,12,0.50,0.242,0.259,1.51,1.51,45.00,180.00,
,12262_FLOOR_10_0_10090,12,0.50,0.242,0.259,1.73,1.73,45.00,180.00,
,12262_FLOOR_10_0_10094,12,0.50,0.242,0.259,0.41,0.41,45.00,180.00,
,12262_FLOOR_10_0_10095,12,0.50,0.242,0.259,0.86,0.86,45.02,180.00,
,12262_FLOOR_10_0_10096,12,0.50,0.242,0.259,0.50,0.50,45.00,180.00,
,12262_FLOOR_10_0_10097,12,0.50,0.242,0.259,0.59,0.59,45.00,180.00,
,12262_FLOOR_10_0_10121,12,0.50,0.242,0.259,1.66,1.66,45.00,180.00,
,12262_FLOOR_10_0_10122,12,0.50,0.242,0.259,3.02,3.02,45.00,180.00,
,12262_FLOOR_10_0_10123,12,0.50,0.242,0.259,4.79,4.79,45.00,180.00,
,12286_PARTITION_6_0_10080,14,0.50,1.696,2.857,10.46,10.46,315.00,90.00,N
,12286_PARTITION_14_0_10125,5,0.30,0.342,0.372,6.00,6.00,135.00,90.00,S
,12286_PARTITION_17_0_10132,14,0.50,1.696,2.857,10.95,10.95,225.00,90.00,W
,12286_PARTITION_4_0_10144,5,0.30,0.342,0.372,0.17,0.17,45.00,90.00,E
,12286_PARTITION_4_0_10145,5,0.30,0.342,0.372,0.52,0.52,45.00,90.00,E
,12286_PARTITION_4_0_10146,5,0.30,0.342,0.372,1.64,1.64,45.00,90.00,E
,12286_PARTITION_4_0_10147,5,0.30,0.342,0.372,0.21,0.21,45.00,90.00,E
,12286_PARTITION_4_0_10148,5,0.30,0.342,0.372,0.88,0.88,45.00,90.00,E
,12286_PARTITION_4_0_10149,5,0.30,0.342,0.372,0.17,0.17,45.00,90.00,E
,12286_PARTITION_4_0_10150,5,0.30,0.342,0.372,0.17,0.17,45.00,90.00,E
,12286_PARTITION_4_0_10151,5,0.30,0.342,0.372,1.34,1.34,45.00,90.00,E
,12286_PARTITION_4_0_10152,5,0.30,0.342,0.372,0.19,0.19,45.00,90.00,E
,12286_PARTITION_4_0_10153,5,0.30,0.342,0.372,1.14,0.00,45.00,90.00,E
,12286_PARTITION_12_0_10155,5,0.30,0.342,0.372,0.73,0.73,135.00,90.00,S
,12286_PARTITION_8_0_10156,5,0.30,0.342,0.372,0.73,0.73,315.00,90.00,N
,12286_PARTITION_7_0_10157,5,0.30,0.342,0.372,1.36,1.36,45.00,90.00,E
,12286_PARTITION_13_0_10158,5,0.30,0.342,0.372,2.14,2.14,45.00,90.00,E
,12286_PARTITION_16_0_0,13,0.50,1.696,2.857,1.39,1.39,315.00,90.00,N
,12286_PARTITION_18_0_0,13,0.50,1.696,2.857,8.27,8.27,225.00,90.00,W
,12286_FLOOR_15_0_10005,4,0.40,2.934,14.000,1.42,1.42,45.00,180.00,
,12286_FLOOR_15_0_10020,4,0.40,2.934,14.000,0.01,0.01,45.00,180.00,
,12286_FLOOR_15_0_10055,4,0.40,2.934,14.000,0.61,0.61,45.00,180.00,
,12286_FLOOR_15_0_10056,4,0.40,2.934,14.000,6.03,6.03,45.00,180.00,
,12286_FLOOR_15_0_10091,4,0.40,2.934,14.000,2.77,2.77,45.00,180.00,
,12286_FLOOR_15_0_10092,4,0.40,2.934,14.000,5.62,5.62,45.00,180.00,
,12286_FLOOR_15_0_10098,4,0.40,2.934,14.000,0.38,0.38,45.00,180.00,
,12286_FLOOR_15_0_10099,4,0.40,2.934,14.000,3.13,3.13,45.00,180.00,
,12306_PARTITION_3_0_10130,14,0.50,1.696,2.857,6.54,6.54,135.00,90.00,S
,12306_PARTITION_4_0_10160,14,0.50,1.696,2.857,8.27,8.27,45.00,90.00,E
,12306_PARTITION_1_0_0,13,0.50,1.696,2.857,6.54,6.54,315.00,90.00,N
,12306_PARTITION_2_0_0,5,0.30,0.342,0.372,2.59,2.59,225.00,90.00,W
,12306_FLOOR_0_0_10006,4,0.40,2.934,14.000,1.66,1.66,45.00,180.00,
,12306_FLOOR_0_0_10011,4,0.40,2.934,14.000,0.94,0.94,45.00,180.00,
,12306_FLOOR_0_0_10012,4,0.40,2.934,14.000,1.96,1.96,45.00,180.00,
